V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2032.0338134765625,2031.094,2027.7056,2032.0385,2031.9457,2031.1466,2029.09,2031.7908,2030.726,2031.3826,2029.657,2031.9113,2030.8483,2033.9325
2980.15673828125,2979.3372,2986.0361,2978.4192,2983.4424,2980.9128,2988.6248,2982.192,2986.2253,2975.9878,2978.1797,2982.5723,2977.593,2985.8965
1134.056396484375,1130.768,1129.371,1128.7883,1136.3505,1128.2676,1137.144,1132.3362,1135.3636,1125.804,1124.5542,1130.6405,1124.8813,1138.506
1271.4820556640625,1265.7463,1272.6622,1260.3204,1282.4434,1253.1847,1298.8022,1265.054,1285.9575,1245.745,1242.8589,1270.733,1251.484,1293.3247
5882.95654296875,5880.3037,5866.826,5884.904,5883.301,5880.693,5872.0596,5881.6,5876.8916,5882.561,5873.8896,5885.15,5881.4146,5893.1875
3113.771484375,3104.6133,3120.1748,3109.2341,3116.7573,3105.3306,3130.7627,3107.3306,3127.8572,3092.3052,3102.2583,3108.9097,3096.972,3118.691
5854.4638671875,5864.5396,5750.5166,5935.2217,5911.7734,5862.7935,5812.1914,5863.544,5852.4043,5886.355,5713.9263,5871.2207,5861.859,5944.248
1735.14892578125,1733.9529,1731.1781,1735.4918,1735.2855,1734.044,1733.716,1734.4093,1734.6473,1733.2235,1732.0588,1734.6816,1733.5287,1738.4504
1587.49072265625,1586.4531,1584.148,1587.7648,1587.6267,1586.5181,1586.3943,1586.8391,1587.1497,1585.725,1584.8064,1587.0625,1586.0201,1590.3519
2631.025146484375,2629.3281,2625.2217,2634.5579,2632.887,2630.047,2626.2363,2630.4797,2628.988,2632.034,2628.52,2632.97,2630.7388,2639.0144
2444.064208984375,2441.591,2442.9136,2443.0713,2443.7202,2440.6492,2443.4338,2442.0398,2443.3481,2441.4138,2440.3113,2443.415,2440.9194,2445.4429
