V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
658.0445556640625,592.2122,558.44116,512.5613,486.79388,485.26422,481.0231,520.9477,516.63074,532.7125,577.4268,610.44464,687.6612,748.60175,802.8174,829.57043,852.782,858.5045,848.80237,841.35034,823.08276,795.3677,736.98755,673.68604,632.4511,587.20374,550.826,519.6636,485.0048,492.0059,463.67358,478.80646,517.6056,535.3784,566.07056,651.47736,687.1311,760.72833,781.25836,820.0741,859.9591,864.1133,848.7697,830.55554,807.93823,792.57745,740.5373,690.77655
2959.75634765625,2695.4326,2522.1165,2319.9941,2186.759,2143.6692,2102.0095,2258.433,2261.0312,2317.84,2476.6833,2537.2764,2874.7815,3098.348,3321.3281,3462.4968,3581.565,3656.1582,3672.399,3679.717,3615.8228,3539.9329,3286.5842,3062.99,2879.403,2700.1743,2527.8032,2377.2874,2170.315,2178.196,2042.1926,2128.7341,2244.6887,2361.5435,2448.3438,2753.0503,2884.2744,3176.6528,3275.4185,3441.1616,3644.3855,3679.7458,3682.3494,3676.7908,3589.2021,3545.831,3321.8003,3113.732
1317.126708984375,1232.2814,1150.3577,1075.8917,971.50775,951.7252,907.56177,916.567,907.2864,926.6897,999.5084,1017.2548,1113.3658,1161.424,1224.2646,1265.6116,1295.2747,1330.6118,1362.178,1384.0293,1401.9116,1395.1909,1341.5854,1308.3302,1246.189,1176.5778,1109.7605,1033.6729,962.41345,932.7564,868.6747,877.29114,919.36084,951.7887,957.546,1055.4105,1052.5706,1144.5255,1171.7974,1215.0901,1282.5194,1294.9199,1316.6318,1332.8679,1352.0292,1365.0388,1300.0856,1262.5863
5420.48779296875,5175.5483,4838.914,4491.5303,4223.52,4072.2175,3950.5771,3953.9734,3868.8984,3806.4019,3908.2852,3854.751,4180.6406,4294.6987,4626.018,4809.847,5082.417,5282.652,5435.337,5632.69,5722.724,5823.4727,5684.87,5444.9653,5320.4326,5073.289,4841.0864,4461.469,4204.387,4051.379,3760.547,3824.973,3860.2498,3841.6377,3747.6416,4040.162,4135.385,4349.825,4482.1865,4817.427,5129.9434,5249.239,5449.3716,5727.0903,5855.4165,5859.3696,5722.0024,5506.328
3450.888671875,3169.0002,2762.92,2498.704,2157.6987,2056.723,1923.9775,1878.9146,1780.3564,1744.8718,1878.2136,1880.0845,2123.7156,2268.42,2505.2659,2693.4087,2872.4634,3169.3254,3365.9346,3557.6992,3635.8135,3728.2378,3531.3398,3403.8867,3106.323,2816.4958,2640.473,2247.5605,2029.3918,1921.0457,1668.1774,1703.0225,1765.8721,1796.7325,1688.3145,1988.7734,1884.925,2166.8376,2233.8325,2559.2268,2866.07,2975.2366,3197.124,3378.8745,3615.8955,3620.514,3414.819,3193.546
5200.43896484375,5226.624,5499.836,5607.634,5904.424,5996.4116,6317.231,6673.1157,6844.8774,7054.9043,7224.62,7450.4966,7512.6807,7448.792,7234.5415,7051.411,6928.998,6631.7896,6314.7427,5825.291,5786.175,5298.9106,5261.4595,5096.3203,5133.857,5167.7007,5465.1953,5628.3936,5950.9717,6034.5195,6358.1924,6544.092,6862.173,6990.7407,7186.1045,7442.4404,7360.8657,7262.951,7173.137,6999.658,6746.159,6441.689,6099.434,5651.2383,5542.469,5288.3965,5170.874,5153.551
47321.3984375,45097.05,41656.57,38877.55,35420.664,33953.176,32420.791,31547.701,30557.926,29939.379,31037.252,31310.219,33587.11,34918.8,37150.25,38808.297,40552.81,42846.918,44626.742,46099.242,47301.03,48048.44,47233.02,46268.242,44602.05,42157.93,40370.777,36871.574,34678.734,33099.816,30488.998,30351.625,30552.125,30394.355,29737.898,32490.123,31467.871,34320.25,34854.836,37640.23,40520.492,41296.05,43201.008,45009.06,46986.016,47565.188,46392.086,44903.83
28891.58984375,26332.148,24998.594,23694.47,22582.256,22716.832,22799.93,25037.03,24946.48,26279.166,28275.957,29221.635,32706.424,34875.684,36516.793,37760.582,38498.03,38487.66,38058.6,37608.008,36605.234,35021.625,32526.602,30021.26,28172.453,26292.383,24847.717,23862.121,22690.725,22890.516,22236.332,23250.95,25151.906,26372.469,27992.662,30921.717,32353.582,35011.25,35939.832,37078.1,38238.49,38575.07,37554.99,36535.09,35583.367,34659.555,32012.95,30084.62
36280.75,33912.863,32456.047,30749.83,29405.473,29174.436,28769.195,30239.803,30136.057,30365.287,31752.02,32276.318,35104.508,36994.254,39181.02,40401.316,41593.57,42123.9,42297.457,42362.035,41800.176,41251.0,39233.73,37234.043,35667.637,34097.44,32595.924,31278.293,29652.473,29368.016,28272.168,29081.812,30148.992,30826.121,31326.666,34128.04,35350.2,37746.73,38712.26,40152.52,41985.99,42314.32,42369.715,42484.29,41710.06,41398.98,39370.242,37664.88
452.56060791015625,436.09482,427.07364,412.87518,397.14886,396.98196,394.22845,390.33542,386.69537,388.7271,407.4671,405.4352,417.26166,419.0084,434.0542,437.53894,443.66138,445.26962,453.3721,458.28754,463.62753,467.6993,454.4628,447.42258,436.11526,424.78293,418.41364,405.05942,394.7639,393.8768,385.11768,385.58417,390.27206,395.35117,391.5574,407.39813,407.97977,419.20825,422.4775,429.01968,440.413,446.12048,452.20016,452.32257,460.008,460.34558,448.14865,438.82574
